training_id,employee_id,training_name,training_category,training_date,training_score,certification_status
397,1172,Cloud Architecture Fundamentals,Technical,2024-07-07,74.3,Certified
398,1172,Workplace Safety,Compliance,2023-08-28,85.9,Certified
399,1172,Data Privacy Essentials,Compliance,2024-05-26,92.6,Certified
400,1173,HR Business Partnering,Leadership,2023-09-19,77.0,Certified
401,1173,Anti-Bribery & Compliance,Compliance,2023-10-27,81.7,Certified
402,1173,Workplace Safety,Compliance,2023-06-10,79.1,Certified
403,1173,Leading Through Change,Leadership,2024-01-01,96.0,Certified
404,1174,Cloud Architecture Fundamentals,Technical,2023-05-23,82.5,Certified
405,1174,Advanced System Design,Technical,2024-07-14,88.6,In Progress
406,1174,Data Privacy Essentials,Compliance,2023-05-04,87.5,Certified
407,1174,Workplace Safety,Compliance,2023-06-20,86.6,In Progress
408,1175,Advanced System Design,Technical,2024-05-03,81.2,Certified
409,1175,Leading Through Change,Leadership,2023-10-13,80.0,Certified
410,1176,Workplace Safety,Compliance,2023-09-02,58.5,In Progress
411,1176,Machine Learning Operations,Technical,2024-01-10,95.9,Certified
412,1176,Data Visualization with BI Tools,Technical,2025-01-29,86.9,Certified
413,1177,Anti-Bribery & Compliance,Compliance,2024-07-28,87.5,Certified
414,1177,HR Business Partnering,Leadership,2024-06-01,69.0,Not Certified
415,1177,Workplace Safety,Compliance,2024-05-08,88.5,Certified
416,1177,Coaching for Managers,Leadership,2023-12-30,80.3,In Progress
417,1178,Workplace Safety,Compliance,2025-01-25,76.6,Certified
418,1179,Data Visualization with BI Tools,Technical,2024-06-19,78.8,Certified
419,1179,Presentation Mastery,Soft Skills,2023-10-22,76.8,Certified
420,1180,Negotiation Skills,Soft Skills,2024-06-11,85.3,Certified
421,1180,Data Visualization with BI Tools,Technical,2025-02-11,81.3,Certified
422,1180,Cloud Architecture Fundamentals,Technical,2025-08-17,83.5,Certified
423,1181,Presentation Mastery,Soft Skills,2023-05-01,90.3,Certified
424,1181,Anti-Bribery & Compliance,Compliance,2025-07-22,88.5,Certified
425,1181,Negotiation Skills,Soft Skills,2023-03-02,84.2,Certified
426,1182,Anti-Bribery & Compliance,Compliance,2024-04-26,91.0,Certified
427,1182,HR Business Partnering,Leadership,2024-12-09,76.8,Certified
428,1182,Time Management,Soft Skills,2024-04-27,79.4,Certified
429,1183,HR Business Partnering,Leadership,2024-12-28,82.7,Certified
430,1184,Coaching for Managers,Leadership,2025-07-26,81.1,Certified
431,1185,Coaching for Managers,Leadership,2024-02-19,68.2,In Progress
432,1185,Leading Through Change,Leadership,2025-08-26,83.8,In Progress
433,1185,Negotiation Skills,Soft Skills,2024-01-23,86.3,In Progress
434,1185,Anti-Bribery & Compliance,Compliance,2025-02-24,82.1,Certified
435,1185,Data Visualization with BI Tools,Technical,2023-09-27,77.7,In Progress
436,1186,Advanced System Design,Technical,2024-07-10,98.0,Certified
437,1188,Workplace Safety,Compliance,2025-03-20,77.4,Certified
438,1188,Data Visualization with BI Tools,Technical,2023-01-05,82.0,Certified
439,1189,Workplace Safety,Compliance,2023-05-21,82.6,Certified
440,1189,Data Visualization with BI Tools,Technical,2024-09-14,78.1,In Progress
441,1190,Leading Through Change,Leadership,2024-07-28,94.1,In Progress
442,1190,Anti-Bribery & Compliance,Compliance,2025-08-27,95.2,Certified
443,1190,Time Management,Soft Skills,2024-03-13,79.6,Certified
444,1190,Presentation Mastery,Soft Skills,2024-02-14,81.1,Certified
445,1191,Machine Learning Operations,Technical,2023-09-12,79.5,Certified
446,1191,Anti-Bribery & Compliance,Compliance,2023-09-07,87.7,Certified
447,1192,HR Business Partnering,Leadership,2025-02-13,69.3,Not Certified
448,1192,Cloud Architecture Fundamentals,Technical,2023-01-12,71.5,Certified
449,1193,Workplace Safety,Compliance,2023-05-19,82.6,Certified
450,1194,Presentation Mastery,Soft Skills,2023-07-12,74.5,Certified
451,1194,Coaching for Managers,Leadership,2025-06-19,88.1,In Progress
452,1194,Advanced System Design,Technical,2023-10-25,95.1,Certified
453,1195,Advanced System Design,Technical,2025-05-05,81.6,In Progress
454,1195,Machine Learning Operations,Technical,2024-04-11,96.6,Certified
455,1195,Time Management,Soft Skills,2023-07-26,88.3,In Progress
456,1196,Negotiation Skills,Soft Skills,2023-10-10,81.1,Certified
457,1196,Anti-Bribery & Compliance,Compliance,2024-08-12,83.3,Certified
458,1196,Time Management,Soft Skills,2024-04-14,62.3,In Progress
459,1197,Workplace Safety,Compliance,2024-08-11,72.7,Certified
460,1197,HR Business Partnering,Leadership,2025-08-26,92.7,In Progress
461,1198,Workplace Safety,Compliance,2025-03-02,97.3,Certified
462,1198,Coaching for Managers,Leadership,2023-01-22,92.3,Certified
463,1199,Data Visualization with BI Tools,Technical,2025-08-02,67.0,Not Certified
464,1199,Coaching for Managers,Leadership,2024-06-15,78.0,Certified
465,1200,Advanced System Design,Technical,2024-10-01,65.4,In Progress
466,1200,HR Business Partnering,Leadership,2025-06-30,82.3,Certified
467,1200,Machine Learning Operations,Technical,2025-04-04,84.0,Certified
468,1200,Negotiation Skills,Soft Skills,2025-07-08,90.8,Certified
469,1201,Negotiation Skills,Soft Skills,2024-11-24,73.5,Certified
470,1201,Time Management,Soft Skills,2025-09-02,84.4,In Progress
471,1201,Data Privacy Essentials,Compliance,2023-11-24,91.4,In Progress
472,1202,Cloud Architecture Fundamentals,Technical,2023-09-11,77.1,In Progress
473,1202,Data Visualization with BI Tools,Technical,2023-09-28,80.9,Certified
474,1203,Leading Through Change,Leadership,2024-04-05,84.8,In Progress
475,1203,Anti-Bribery & Compliance,Compliance,2024-01-30,85.5,Certified
476,1204,Anti-Bribery & Compliance,Compliance,2024-07-16,80.4,Certified
477,1204,Effective Communication,Soft Skills,2025-05-11,87.0,Certified
478,1205,Presentation Mastery,Soft Skills,2025-07-22,73.2,Certified
479,1205,Machine Learning Operations,Technical,2024-10-01,78.3,Certified
480,1205,Cloud Architecture Fundamentals,Technical,2023-01-27,77.0,In Progress
481,1205,Anti-Bribery & Compliance,Compliance,2024-11-24,77.7,Certified
482,1206,Time Management,Soft Skills,2023-03-05,76.9,Certified
483,1206,Leading Through Change,Leadership,2025-07-09,80.2,In Progress
484,1206,Presentation Mastery,Soft Skills,2023-07-28,75.8,In Progress
485,1206,Data Visualization with BI Tools,Technical,2025-09-21,87.0,In Progress
486,1206,Anti-Bribery & Compliance,Compliance,2023-01-23,86.9,In Progress
487,1207,Machine Learning Operations,Technical,2024-07-14,82.1,Certified
488,1207,Coaching for Managers,Leadership,2023-10-05,66.8,Not Certified
489,1208,Advanced System Design,Technical,2024-01-14,81.9,In Progress
490,1208,Presentation Mastery,Soft Skills,2023-02-16,75.6,In Progress
491,1208,Time Management,Soft Skills,2023-02-22,90.2,Certified
492,1209,HR Business Partnering,Leadership,2025-02-26,93.1,In Progress
493,1209,Time Management,Soft Skills,2024-06-20,91.2,In Progress
494,1209,Advanced System Design,Technical,2023-06-30,81.5,Certified
495,1210,Data Privacy Essentials,Compliance,2025-08-04,82.0,In Progress
496,1210,Negotiation Skills,Soft Skills,2025-01-30,75.2,Certified
497,1210,Leading Through Change,Leadership,2024-08-12,79.2,In Progress
498,1211,Workplace Safety,Compliance,2024-12-07,99.0,In Progress
499,1211,Cloud Architecture Fundamentals,Technical,2023-10-10,84.8,Certified
500,1211,Leading Through Change,Leadership,2025-01-20,89.7,In Progress
501,1211,Machine Learning Operations,Technical,2025-05-06,90.9,In Progress
502,1212,Negotiation Skills,Soft Skills,2025-07-20,78.5,In Progress
503,1212,Effective Communication,Soft Skills,2023-07-12,84.6,Certified
504,1212,Data Visualization with BI Tools,Technical,2023-12-30,83.1,Certified
505,1213,Workplace Safety,Compliance,2024-07-25,78.7,Certified
506,1213,Advanced System Design,Technical,2023-07-19,73.2,Certified
507,1213,Coaching for Managers,Leadership,2024-05-01,81.9,Certified
508,1214,Data Visualization with BI Tools,Technical,2023-09-21,81.5,Certified
509,1216,Leading Through Change,Leadership,2024-11-29,94.5,In Progress
510,1216,Coaching for Managers,Leadership,2025-05-17,93.8,In Progress
511,1216,Advanced System Design,Technical,2025-03-06,74.6,In Progress
512,1216,Effective Communication,Soft Skills,2024-03-24,82.3,Certified
513,1216,HR Business Partnering,Leadership,2024-08-12,85.6,In Progress
514,1217,Effective Communication,Soft Skills,2023-08-07,85.0,In Progress
515,1217,Presentation Mastery,Soft Skills,2025-06-13,81.6,In Progress
516,1217,Anti-Bribery & Compliance,Compliance,2023-07-02,74.9,Certified
517,1217,Machine Learning Operations,Technical,2024-12-05,90.9,Certified
518,1217,Time Management,Soft Skills,2023-08-04,82.0,Certified
519,1218,Negotiation Skills,Soft Skills,2024-02-12,69.3,In Progress
520,1218,Machine Learning Operations,Technical,2025-08-13,83.0,Certified
521,1219,Presentation Mastery,Soft Skills,2024-02-10,81.5,Certified
522,1219,Anti-Bribery & Compliance,Compliance,2024-08-11,75.1,Certified
523,1219,Advanced System Design,Technical,2023-10-07,90.7,In Progress
524,1219,Cloud Architecture Fundamentals,Technical,2023-05-10,85.9,In Progress
525,1220,Advanced System Design,Technical,2025-10-01,75.3,Certified
526,1220,HR Business Partnering,Leadership,2024-11-29,88.0,Certified
527,1221,Workplace Safety,Compliance,2023-11-24,94.2,Certified
528,1222,Effective Communication,Soft Skills,2024-02-07,83.7,Certified
529,1222,Leading Through Change,Leadership,2024-12-19,87.0,Certified
530,1222,Advanced System Design,Technical,2023-08-20,78.9,In Progress
531,1224,Time Management,Soft Skills,2024-01-29,82.4,In Progress
532,1225,Coaching for Managers,Leadership,2024-11-02,79.3,Certified
533,1225,Leading Through Change,Leadership,2023-10-12,87.8,Certified
534,1226,Negotiation Skills,Soft Skills,2024-12-09,82.2,Certified
535,1227,Workplace Safety,Compliance,2025-07-24,82.8,In Progress
536,1227,HR Business Partnering,Leadership,2024-04-22,86.8,Certified
537,1227,Data Visualization with BI Tools,Technical,2023-09-03,80.8,Certified
538,1227,Leading Through Change,Leadership,2025-09-03,81.6,Certified
539,1228,Data Visualization with BI Tools,Technical,2025-05-27,87.8,In Progress
540,1228,Cloud Architecture Fundamentals,Technical,2023-10-31,87.2,In Progress
541,1229,Presentation Mastery,Soft Skills,2023-01-31,84.6,Certified
542,1229,Leading Through Change,Leadership,2023-01-12,84.9,In Progress
543,1230,Leading Through Change,Leadership,2023-02-06,68.8,In Progress
544,1230,Negotiation Skills,Soft Skills,2024-06-28,97.1,In Progress
545,1230,Presentation Mastery,Soft Skills,2023-04-05,67.7,In Progress
546,1230,Anti-Bribery & Compliance,Compliance,2025-03-01,82.7,Certified
547,1230,Advanced System Design,Technical,2024-11-02,88.7,In Progress
548,1231,Leading Through Change,Leadership,2024-09-03,99.0,In Progress
549,1232,Coaching for Managers,Leadership,2024-01-28,82.2,Certified
550,1233,Leading Through Change,Leadership,2024-01-10,90.5,Certified
551,1233,Negotiation Skills,Soft Skills,2024-12-12,94.2,In Progress
552,1233,Presentation Mastery,Soft Skills,2023-03-19,89.5,Certified
553,1234,Data Visualization with BI Tools,Technical,2024-04-10,77.2,Certified
554,1234,Anti-Bribery & Compliance,Compliance,2023-10-01,79.1,Certified
555,1234,Data Privacy Essentials,Compliance,2024-06-26,82.6,Certified
556,1234,HR Business Partnering,Leadership,2024-11-16,75.9,Certified
557,1236,Coaching for Managers,Leadership,2024-02-11,89.7,Certified
558,1236,Effective Communication,Soft Skills,2024-11-30,78.8,Certified
559,1236,Cloud Architecture Fundamentals,Technical,2025-02-27,77.0,In Progress
560,1236,Machine Learning Operations,Technical,2023-09-12,86.9,Certified
561,1236,Data Visualization with BI Tools,Technical,2025-07-13,84.6,Certified
562,1237,Anti-Bribery & Compliance,Compliance,2025-09-30,85.6,Certified
563,1237,Advanced System Design,Technical,2023-06-21,85.8,Certified
564,1237,Effective Communication,Soft Skills,2023-03-16,81.8,In Progress
565,1237,Negotiation Skills,Soft Skills,2025-03-03,74.6,Certified
566,1238,Workplace Safety,Compliance,2025-02-25,75.4,In Progress
567,1238,Negotiation Skills,Soft Skills,2025-04-08,83.7,Certified
568,1238,HR Business Partnering,Leadership,2025-07-04,75.4,Certified
569,1238,Data Visualization with BI Tools,Technical,2023-01-09,78.8,Certified
570,1239,Data Privacy Essentials,Compliance,2023-12-04,84.2,Certified
571,1239,Advanced System Design,Technical,2024-07-13,92.5,Certified
572,1239,Leading Through Change,Leadership,2023-10-02,68.0,Not Certified
573,1241,Effective Communication,Soft Skills,2024-07-20,85.9,Certified
574,1242,Machine Learning Operations,Technical,2024-01-21,75.8,Certified
575,1242,Effective Communication,Soft Skills,2025-09-07,94.5,Certified
576,1242,Time Management,Soft Skills,2025-04-09,80.5,In Progress
577,1242,Advanced System Design,Technical,2025-09-11,85.4,Certified
578,1243,Data Visualization with BI Tools,Technical,2023-04-10,71.9,Certified
579,1244,Coaching for Managers,Leadership,2025-09-10,81.4,Certified
580,1244,Workplace Safety,Compliance,2023-06-14,83.6,Certified
581,1245,HR Business Partnering,Leadership,2024-08-02,84.4,Certified
582,1245,Coaching for Managers,Leadership,2024-02-11,85.1,Certified
583,1245,Anti-Bribery & Compliance,Compliance,2024-09-28,82.4,Certified
584,1245,Time Management,Soft Skills,2024-08-21,79.4,Certified
585,1245,Presentation Mastery,Soft Skills,2025-05-17,92.5,Certified
586,1247,Advanced System Design,Technical,2023-01-01,74.5,Certified
587,1248,Machine Learning Operations,Technical,2024-01-14,81.0,In Progress
588,1249,Negotiation Skills,Soft Skills,2025-01-02,75.9,In Progress
589,1249,Leading Through Change,Leadership,2024-02-05,85.3,In Progress
590,1250,Presentation Mastery,Soft Skills,2023-08-05,79.7,Certified
591,1250,Data Privacy Essentials,Compliance,2025-05-19,99.0,Certified
592,1252,Data Privacy Essentials,Compliance,2023-10-25,85.2,In Progress
593,1253,Coaching for Managers,Leadership,2023-07-14,89.7,Certified
594,1253,HR Business Partnering,Leadership,2025-02-26,83.9,Certified
595,1253,Leading Through Change,Leadership,2023-06-01,86.0,In Progress
596,1254,Effective Communication,Soft Skills,2025-07-27,86.1,Certified
597,1254,Data Privacy Essentials,Compliance,2024-11-16,83.4,Certified
598,1254,Anti-Bribery & Compliance,Compliance,2025-04-14,85.4,Certified
599,1254,Coaching for Managers,Leadership,2023-09-15,89.4,In Progress
600,1254,HR Business Partnering,Leadership,2024-07-11,70.2,Certified
601,1255,Data Privacy Essentials,Compliance,2024-08-13,89.0,Certified
602,1255,Effective Communication,Soft Skills,2023-11-16,82.6,Certified
603,1256,Advanced System Design,Technical,2025-05-10,80.0,Certified
604,1256,Data Privacy Essentials,Compliance,2024-11-22,96.6,Certified
605,1256,Data Visualization with BI Tools,Technical,2024-08-01,75.8,Certified
606,1256,Leading Through Change,Leadership,2024-08-26,74.6,Certified
607,1257,Coaching for Managers,Leadership,2023-07-02,76.1,Certified
608,1258,Workplace Safety,Compliance,2025-09-01,77.0,Certified
609,1258,Coaching for Managers,Leadership,2023-09-03,70.2,Certified
610,1259,Data Visualization with BI Tools,Technical,2024-04-26,85.2,Certified
611,1259,Machine Learning Operations,Technical,2024-06-29,72.6,Certified
612,1260,Effective Communication,Soft Skills,2025-09-15,96.7,Certified
613,1261,Anti-Bribery & Compliance,Compliance,2023-06-14,88.0,Certified
614,1261,Data Privacy Essentials,Compliance,2025-07-04,69.5,Not Certified
615,1262,Machine Learning Operations,Technical,2024-03-06,70.0,Certified
616,1262,Anti-Bribery & Compliance,Compliance,2024-07-31,82.2,Certified
617,1263,Presentation Mastery,Soft Skills,2024-11-07,85.7,In Progress
618,1264,HR Business Partnering,Leadership,2024-11-13,79.8,Certified
619,1264,Presentation Mastery,Soft Skills,2024-12-14,82.8,Certified
620,1264,Anti-Bribery & Compliance,Compliance,2024-09-28,85.5,Certified
621,1264,Data Visualization with BI Tools,Technical,2025-08-30,93.8,Certified
622,1265,Effective Communication,Soft Skills,2025-04-26,87.9,Certified
623,1266,Presentation Mastery,Soft Skills,2025-06-28,81.8,Certified
624,1266,Negotiation Skills,Soft Skills,2024-03-08,61.2,In Progress
625,1267,Effective Communication,Soft Skills,2024-12-30,70.7,Certified
626,1267,HR Business Partnering,Leadership,2023-03-23,83.3,Certified
627,1267,Anti-Bribery & Compliance,Compliance,2024-07-18,80.5,Certified
628,1268,HR Business Partnering,Leadership,2025-01-29,79.6,Certified
629,1269,Data Privacy Essentials,Compliance,2024-04-25,70.8,In Progress
630,1269,Cloud Architecture Fundamentals,Technical,2025-03-15,90.7,In Progress
631,1271,Leading Through Change,Leadership,2023-05-26,89.0,Certified
632,1271,Negotiation Skills,Soft Skills,2023-11-29,99.0,Certified
633,1271,Data Visualization with BI Tools,Technical,2023-05-18,83.4,Certified
634,1272,Leading Through Change,Leadership,2024-05-03,87.6,In Progress
635,1273,Cloud Architecture Fundamentals,Technical,2023-02-19,74.7,Certified
636,1273,Anti-Bribery & Compliance,Compliance,2023-04-20,84.1,Certified
637,1274,Data Privacy Essentials,Compliance,2024-06-22,83.4,Certified
638,1274,Presentation Mastery,Soft Skills,2024-03-18,85.4,Certified
639,1274,Leading Through Change,Leadership,2023-07-14,87.7,In Progress
640,1275,Workplace Safety,Compliance,2024-07-09,81.8,In Progress
641,1275,Coaching for Managers,Leadership,2025-04-10,90.0,Certified
642,1276,Time Management,Soft Skills,2023-12-06,67.9,In Progress
643,1276,Effective Communication,Soft Skills,2024-01-13,91.1,Certified
644,1276,Negotiation Skills,Soft Skills,2024-04-02,75.4,Certified
645,1276,HR Business Partnering,Leadership,2024-08-13,82.0,In Progress
646,1277,Effective Communication,Soft Skills,2024-06-22,79.3,Certified
647,1277,Data Visualization with BI Tools,Technical,2023-06-03,79.7,Certified
648,1277,Negotiation Skills,Soft Skills,2023-11-14,85.6,Certified
649,1278,Presentation Mastery,Soft Skills,2024-08-29,79.1,In Progress
650,1278,Coaching for Managers,Leadership,2024-02-26,69.9,In Progress
651,1279,Anti-Bribery & Compliance,Compliance,2023-08-09,68.0,In Progress
652,1279,Negotiation Skills,Soft Skills,2025-02-03,79.7,In Progress
653,1279,Presentation Mastery,Soft Skills,2024-09-25,96.2,Certified
654,1280,Time Management,Soft Skills,2024-12-22,74.1,Certified
655,1280,Negotiation Skills,Soft Skills,2025-02-05,85.9,Certified
656,1280,Leading Through Change,Leadership,2023-06-27,81.3,In Progress
657,1281,Negotiation Skills,Soft Skills,2024-09-25,76.4,Certified
658,1282,Data Visualization with BI Tools,Technical,2024-05-14,91.8,In Progress
659,1283,Cloud Architecture Fundamentals,Technical,2025-06-23,87.8,In Progress
660,1283,Coaching for Managers,Leadership,2023-10-27,98.8,Certified
661,1283,Negotiation Skills,Soft Skills,2024-11-26,83.0,In Progress
662,1284,Machine Learning Operations,Technical,2024-07-21,71.8,In Progress
663,1284,Effective Communication,Soft Skills,2023-01-21,78.8,Certified
664,1286,Machine Learning Operations,Technical,2025-01-30,78.7,Certified
665,1286,Advanced System Design,Technical,2024-11-14,81.7,In Progress
666,1286,Time Management,Soft Skills,2024-09-02,91.5,In Progress
667,1288,Machine Learning Operations,Technical,2023-04-21,78.9,Certified
668,1289,Workplace Safety,Compliance,2024-08-01,88.4,Certified
669,1290,Anti-Bribery & Compliance,Compliance,2024-11-10,78.1,Certified
670,1290,Machine Learning Operations,Technical,2023-01-02,70.7,Certified
671,1290,Negotiation Skills,Soft Skills,2024-06-11,79.4,Certified
672,1291,Cloud Architecture Fundamentals,Technical,2024-05-10,71.0,Certified
673,1291,HR Business Partnering,Leadership,2025-06-16,92.8,Certified
674,1291,Presentation Mastery,Soft Skills,2024-03-09,68.6,In Progress
675,1292,Negotiation Skills,Soft Skills,2025-05-23,71.2,Certified
676,1292,Cloud Architecture Fundamentals,Technical,2025-08-30,72.0,Certified
677,1293,Machine Learning Operations,Technical,2024-10-30,86.0,Certified
678,1293,Anti-Bribery & Compliance,Compliance,2025-06-04,87.9,Certified
679,1293,Presentation Mastery,Soft Skills,2023-12-02,86.6,Certified
680,1293,Workplace Safety,Compliance,2025-08-25,79.1,Certified
681,1293,Time Management,Soft Skills,2024-11-27,75.0,In Progress
682,1294,Anti-Bribery & Compliance,Compliance,2025-07-13,85.2,Certified
683,1294,Data Visualization with BI Tools,Technical,2025-03-29,79.4,In Progress
684,1295,Leading Through Change,Leadership,2023-07-31,67.4,Not Certified
685,1295,Data Privacy Essentials,Compliance,2024-09-05,81.5,In Progress
686,1295,Anti-Bribery & Compliance,Compliance,2023-09-20,81.1,Certified
687,1295,Presentation Mastery,Soft Skills,2024-10-06,99.0,Certified
688,1296,Negotiation Skills,Soft Skills,2023-03-29,82.1,In Progress
689,1296,Cloud Architecture Fundamentals,Technical,2024-05-07,99.0,Certified
690,1296,Data Privacy Essentials,Compliance,2024-02-08,73.0,Certified
691,1296,Advanced System Design,Technical,2024-09-10,72.2,In Progress
692,1297,Presentation Mastery,Soft Skills,2025-03-23,89.8,Certified
693,1297,Negotiation Skills,Soft Skills,2024-04-15,92.0,Certified
694,1297,HR Business Partnering,Leadership,2025-02-07,67.2,Not Certified
695,1297,Anti-Bribery & Compliance,Compliance,2024-01-13,88.1,Certified
696,1298,Data Privacy Essentials,Compliance,2025-03-12,79.4,Certified
697,1298,Negotiation Skills,Soft Skills,2023-12-23,84.6,Certified
698,1299,Coaching for Managers,Leadership,2023-11-30,81.8,Certified
699,1299,Workplace Safety,Compliance,2024-05-16,69.4,In Progress
700,1299,Leading Through Change,Leadership,2023-11-24,79.4,Certified
701,1299,Cloud Architecture Fundamentals,Technical,2025-02-03,80.8,Certified
702,1301,Data Privacy Essentials,Compliance,2024-10-30,73.0,Certified
703,1301,Effective Communication,Soft Skills,2023-10-02,69.9,In Progress
704,1302,Coaching for Managers,Leadership,2023-04-01,73.8,In Progress
705,1302,Effective Communication,Soft Skills,2024-11-03,81.2,Certified
706,1302,Negotiation Skills,Soft Skills,2024-11-17,94.3,In Progress
707,1302,Machine Learning Operations,Technical,2023-06-30,85.5,In Progress
708,1302,Cloud Architecture Fundamentals,Technical,2023-12-08,80.4,In Progress
709,1303,HR Business Partnering,Leadership,2024-08-20,84.7,Certified
710,1303,Presentation Mastery,Soft Skills,2023-03-07,97.9,Certified
711,1304,Presentation Mastery,Soft Skills,2023-03-05,88.2,Certified
712,1304,Leading Through Change,Leadership,2023-07-25,76.8,In Progress
713,1304,Coaching for Managers,Leadership,2025-03-22,72.3,Certified
714,1305,Leading Through Change,Leadership,2024-04-01,90.0,Certified
715,1305,Negotiation Skills,Soft Skills,2025-06-11,65.9,Not Certified
716,1305,Machine Learning Operations,Technical,2025-05-09,80.9,Certified
717,1305,Coaching for Managers,Leadership,2025-01-28,85.2,Certified
718,1305,HR Business Partnering,Leadership,2025-02-22,79.9,Certified
719,1306,Time Management,Soft Skills,2024-09-10,81.8,Certified
720,1306,Data Visualization with BI Tools,Technical,2024-01-09,56.6,In Progress
721,1306,Effective Communication,Soft Skills,2025-02-22,90.3,Certified
722,1306,Anti-Bribery & Compliance,Compliance,2024-08-17,78.1,Certified
723,1307,Coaching for Managers,Leadership,2023-11-02,79.2,Certified
724,1307,Anti-Bribery & Compliance,Compliance,2024-04-30,82.6,Certified
725,1307,Time Management,Soft Skills,2024-09-15,86.3,In Progress
726,1308,Machine Learning Operations,Technical,2025-09-24,84.7,Certified
727,1308,Leading Through Change,Leadership,2024-11-03,86.0,Certified
728,1308,HR Business Partnering,Leadership,2024-08-10,73.8,Certified
729,1308,Data Privacy Essentials,Compliance,2023-08-06,82.2,Certified
730,1309,Coaching for Managers,Leadership,2024-03-06,95.8,Certified
731,1309,Data Privacy Essentials,Compliance,2025-02-15,84.9,In Progress
732,1309,Workplace Safety,Compliance,2023-03-19,82.4,Certified
733,1309,Data Visualization with BI Tools,Technical,2025-01-29,76.2,Certified
734,1309,Anti-Bribery & Compliance,Compliance,2024-06-22,89.1,Certified
735,1310,Effective Communication,Soft Skills,2025-03-26,76.5,Certified
736,1311,Machine Learning Operations,Technical,2024-11-13,76.5,In Progress
737,1311,Anti-Bribery & Compliance,Compliance,2023-06-08,89.6,Certified
738,1312,Leading Through Change,Leadership,2025-06-23,81.4,Certified
739,1313,Data Privacy Essentials,Compliance,2025-06-09,77.9,Certified
740,1314,Coaching for Managers,Leadership,2024-07-14,90.3,Certified
741,1314,Data Visualization with BI Tools,Technical,2025-03-27,84.2,Certified
742,1314,Advanced System Design,Technical,2024-01-01,69.5,Not Certified
743,1314,Negotiation Skills,Soft Skills,2024-06-23,91.5,In Progress
744,1314,Cloud Architecture Fundamentals,Technical,2023-04-17,78.9,In Progress
745,1315,Data Visualization with BI Tools,Technical,2023-11-04,85.5,In Progress
746,1315,Leading Through Change,Leadership,2025-08-23,71.8,In Progress
747,1316,Data Privacy Essentials,Compliance,2023-09-30,74.0,In Progress
748,1317,Negotiation Skills,Soft Skills,2023-02-04,68.6,In Progress
749,1317,Leading Through Change,Leadership,2023-04-16,77.6,Certified
750,1318,Machine Learning Operations,Technical,2024-06-22,83.3,Certified
751,1318,Data Privacy Essentials,Compliance,2023-11-20,64.1,In Progress
752,1318,Leading Through Change,Leadership,2025-01-27,76.6,In Progress
753,1318,Negotiation Skills,Soft Skills,2025-02-07,75.0,Certified
754,1320,Data Privacy Essentials,Compliance,2023-11-24,99.0,Certified
755,1320,Machine Learning Operations,Technical,2024-05-13,78.2,In Progress
756,1320,Negotiation Skills,Soft Skills,2025-04-03,81.3,In Progress
757,1321,HR Business Partnering,Leadership,2024-01-21,84.3,In Progress
758,1321,Anti-Bribery & Compliance,Compliance,2025-04-29,91.6,Certified
759,1321,Coaching for Managers,Leadership,2025-02-20,73.5,In Progress
760,1321,Machine Learning Operations,Technical,2023-09-06,89.5,Certified
761,1321,Workplace Safety,Compliance,2024-03-29,87.4,In Progress
762,1322,Workplace Safety,Compliance,2025-09-24,79.7,In Progress
763,1323,Anti-Bribery & Compliance,Compliance,2025-03-23,67.9,Not Certified
764,1324,Effective Communication,Soft Skills,2024-09-22,74.6,Certified
765,1324,Coaching for Managers,Leadership,2023-08-12,88.6,Certified
766,1324,Cloud Architecture Fundamentals,Technical,2023-10-25,78.7,In Progress
767,1324,Data Privacy Essentials,Compliance,2023-09-08,86.5,In Progress
768,1325,Leading Through Change,Leadership,2023-11-27,98.1,Certified
769,1326,Machine Learning Operations,Technical,2023-05-14,82.6,In Progress
770,1326,Workplace Safety,Compliance,2023-01-28,81.6,In Progress
771,1326,HR Business Partnering,Leadership,2023-06-17,70.6,In Progress
772,1326,Advanced System Design,Technical,2023-10-04,70.7,Certified
773,1326,Leading Through Change,Leadership,2023-08-30,75.5,In Progress
774,1327,Coaching for Managers,Leadership,2024-08-17,90.4,Certified
775,1327,Presentation Mastery,Soft Skills,2025-02-08,89.7,In Progress
776,1327,Advanced System Design,Technical,2024-05-11,88.7,Certified
777,1327,Workplace Safety,Compliance,2024-01-09,87.7,In Progress
778,1327,Data Privacy Essentials,Compliance,2024-09-20,81.2,Certified
779,1328,Data Privacy Essentials,Compliance,2024-06-02,76.9,Certified
780,1328,Presentation Mastery,Soft Skills,2025-07-13,89.1,Certified
781,1329,Leading Through Change,Leadership,2025-09-09,82.5,Certified
782,1329,Anti-Bribery & Compliance,Compliance,2023-09-28,96.3,Certified
783,1329,Machine Learning Operations,Technical,2023-03-08,94.4,In Progress
784,1330,Data Visualization with BI Tools,Technical,2023-09-14,78.7,In Progress
785,1330,Workplace Safety,Compliance,2024-03-25,72.9,Certified
786,1330,Leading Through Change,Leadership,2023-03-23,83.3,Certified
787,1330,Cloud Architecture Fundamentals,Technical,2024-03-31,88.0,In Progress
788,1330,Effective Communication,Soft Skills,2024-01-28,89.4,Certified
789,1331,Machine Learning Operations,Technical,2023-12-07,82.6,In Progress
790,1331,Time Management,Soft Skills,2024-05-19,66.9,In Progress
